,floor,floors_count,total_meters,price_per_month,district,underground,Холодильник,Стиральная машина,Телевизор,Посудомоечная машина,Кондиционер,Интернет,Площадь кухни,Высота потолков,Санузел,Балкон/лоджия,Вид из окон,Ремонт,Год постройки,Тип дома,Парковка,time_to_rent
646,19,22,36.5,30000,Красногвардейский,Гражданский проспект,1.0,1.0,1.0,0.0,0.0,1.0,9.0,2.6677996422182466,1.0,"1 лоджия, 1 балкон",На улицу,Евроремонт,2019.0,Панельный,Наземная,4
647,16,25,37.0,34500,Красносельский,Ленинский проспект,1.0,1.0,1.0,1.0,0.0,1.0,10.5,2.6677996422182466,1.0,1 балкон,На улицу,Евроремонт,2016.0,Монолитный,Наземная,4
648,3,16,47.0,40000,Красносельский,Проспект Ветеранов,1.0,1.0,1.0,1.0,0.0,1.0,16.3,2.6677996422182466,1.0,1 балкон,На улицу,Евроремонт,2015.0,Монолитный,Наземная,7
649,24,25,36.0,32000,Московский,Звездная,1.0,1.0,1.0,1.0,0.0,1.0,8.0,2.6677996422182466,1.0,1 лоджия,Во двор,Евроремонт,2014.0,Монолитный,Наземная,0
650,11,19,32.0,35000,Приморский,Комендантский проспект,1.0,1.0,1.0,0.0,0.0,1.0,11.0,2.6,1.0,1 балкон,На улицу,Евроремонт,2019.0,Монолитный,Наземная,1
651,5,17,46.4,35000,Невский,Проспект Большевиков,1.0,1.0,0.0,0.0,0.0,0.0,15.0,2.7,1.0,1 балкон,Во двор,Евроремонт,2011.0,Кирпичный,Многоуровневая,10
652,4,17,45.0,33000,Калининский,Выборгская,1.0,1.0,1.0,1.0,1.0,1.0,12.0,2.6677996422182466,1.0,1 лоджия,На улицу,Евроремонт,2001.0,Кирпичный,Наземная,7
653,10,17,40.0,55000,Московский,Купчино,1.0,1.0,1.0,1.0,0.0,1.0,18.0,2.7,1.0,1 лоджия,Во двор,Евроремонт,2018.0,Панельный,Подземная,8
654,16,19,34.0,23000,Красносельский,Ленинский проспект,1.0,1.0,1.0,0.0,0.0,1.0,10.0,2.5,1.0,"1 лоджия, 1 балкон",Во двор,Евроремонт,2016.0,Монолитный,Многоуровневая,1
655,9,11,39.0,27000,Приморский,Беговая,1.0,1.0,1.0,0.0,0.0,1.0,10.0,2.6677996422182466,1.0,1 лоджия,На улицу,Косметический,1999.0,Кирпичный,Наземная,1
656,9,17,35.0,23000,Невский,нет метро,1.0,1.0,1.0,0.0,0.0,1.0,9.0,2.6677996422182466,1.0,нет балкона,Во двор,Евроремонт,2009.0,Кирпичный,Наземная,4
657,5,6,40.0,33000,Курортный,нет метро,1.0,1.0,1.0,0.0,0.0,1.0,10.0,2.7,1.0,2 лоджии,На улицу,Евроремонт,2017.0,Монолитный,Наземная,3
658,8,16,34.0,30000,Калининский,Лесная,1.0,1.0,1.0,1.0,0.0,1.0,8.0,2.6677996422182466,1.0,1 лоджия,На улицу,Евроремонт,2009.0,Кирпичный,Наземная,2
661,5,5,31.0,31000,Московский,Электросила,1.0,1.0,1.0,0.0,0.0,1.0,6.0,2.6677996422182466,1.0,1 балкон,Во двор,Косметический,1961.0,Кирпичный,Наземная,2
662,7,12,42.0,35000,Приморский,Черная речка,1.0,1.0,1.0,0.0,0.0,1.0,11.0,2.6,1.0,1 лоджия,На улицу и двор,Косметический,1968.0,Кирпичный,Наземная,1
663,2,9,28.0,27000,Московский,Московская,1.0,1.0,1.0,0.0,0.0,1.0,7.0,2.6677996422182466,1.0,нет балкона,Во двор,Косметический,1956.0,Кирпичный,Наземная,6
