,id,floor,floors_count,total_meters,price_per_month,district,underground,Холодильник,Стиральная машина,Телевизор,Посудомоечная машина,Кондиционер,Интернет,Площадь кухни,Высота потолков,Санузел,Балкон/лоджия,Вид из окон,Ремонт,Год постройки,Тип дома,Парковка,adress,time_to_rent,m_lat,m_long,a_lat,a_long,time_to_metro
185,298852598.0,8,17,36.0,35000,Московский,Звездная,1.0,1.0,1.0,0.0,0.0,1.0,10.0,2.7,1.0,1 лоджия,Во двор,Евроремонт,2007.0,Монолитный,Наземная,Звездная  20 Санкт-Петербург,8,59.83328,30.349447,59.83697,30.367009,15.175266666666666
186,298850939.0,2,5,30.0,30000,Невский,Рыбацкое,1.0,1.0,1.0,1.0,0.0,1.0,6.0,2.5,1.0,1 балкон,Во двор,Евроремонт,1972.0,Кирпичный,Наземная,Караваевская  41К1 Санкт-Петербург,2,59.830856,30.500319,59.829396,30.515986,13.763883333333332
187,298850799.0,3,7,50.0,57000,Центральный,Площадь Восстания,1.0,1.0,1.0,0.0,0.0,1.0,15.0,2.8,2.0,1 балкон,Во двор,Евроремонт,2013.0,Кирпичный,Подземная,Полтавский проезд 2 Санкт-Петербург,11,59.931522,30.360568,59.925078,30.367198,13.656749999999999
188,298849700.0,3,9,36.0,23000,Василеостровский,Приморская,1.0,1.0,1.0,0.0,0.0,1.0,9.0,2.7,1.0,1 балкон,Во двор,Косметический,1978.0,Панельный,Наземная, Кораблестроителей 44К2 Санкт-Петербург,6,59.94846,30.234607,59.957507,30.230079,17.3473
189,298849312.0,4,9,35.0,27000,Московский,Звездная,1.0,1.0,0.0,0.0,0.0,0.0,9.0,2.5,1.0,1 балкон,На улицу,Косметический,1968.0,Кирпичный,Наземная, Орджоникидзе 63 Санкт-Петербург,5,59.83328,30.349447,59.842938,30.364242,22.204066666666666
190,298848619.0,8,12,37.8,50000,Приморский,Комендантский проспект,1.0,1.0,0.0,0.0,0.0,1.0,10.5,2.67277397260274,1.0,1 лоджия,На улицу,Евроремонт,2022.0,Кирпичный,Наземная,проспект Авиаконструкторов 54 Санкт-Петербург,6,60.008716,30.258385,60.033908,30.204962,54.223150000000004
191,298846981.0,5,17,42.0,40000,Московский,Электросила,1.0,1.0,1.0,0.0,0.0,0.0,12.0,2.8,1.0,1 лоджия,На улицу,Евроремонт,2005.0,Кирпичный,Наземная,Варшавская  19к2 Санкт-Петербург,6,59.879164,30.318707,59.873171,30.312634,11.93725
193,298846277.0,3,10,46.0,56000,Центральный,Площадь Александра Невского,1.0,1.0,1.0,0.0,0.0,1.0,11.0,2.7,1.0,1 лоджия,На улицу,Евроремонт,2014.0,Монолитно-кирпичный,Наземная,Кременчугская  11к2 Санкт-Петербург,2,59.923563,30.383421,59.92267,30.369291,21.128933333333336
194,298846051.0,5,9,31.0,18000,Калининский,Гражданский проспект,1.0,1.0,1.0,0.0,0.0,0.0,6.0,2.5,1.0,нет балкона,Во двор,Косметический,1972.0,Панельный,Наземная,Светлановский проспект 70К2 Санкт-Петербург,4,60.034829,30.418195,60.042775,30.397579,25.69225
195,298844816.0,8,9,32.0,23000,Выборгский,Проспект Просвещения,1.0,1.0,0.0,0.0,0.0,1.0,6.0,2.67277397260274,1.0,нет балкона,Во двор,Косметический,1975.0,Панельный,Открытая,проспект Луначарского 58К3 Санкт-Петербург,5,60.051176,30.332676,60.042766,30.341461,16.24288333333333
196,298844270.0,1,5,40.0,25000,Невский,Ломоносовская,1.0,1.0,1.0,0.0,0.0,1.0,7.0,3.0,1.0,нет балкона,На улицу,Косметический,1958.0,Монолитный,Наземная, Седова 75/21 Санкт-Петербург,1,59.877335,30.441695,59.873496,30.436162,8.84575
197,298844005.0,15,17,38.9,28000,Калининский,Академическая,1.0,1.0,1.0,1.0,0.0,1.0,10.7,2.7,1.0,1 лоджия,Во двор,Евроремонт,2007.0,Панельный,Наземная,Брюсовская  6к3 Санкт-Петербург,2,60.012719,30.396133,59.985503,30.421941,53.90091666666667
198,298842277.0,13,24,40.0,35000,Выборгский,Озерки,1.0,1.0,0.0,0.0,0.0,1.0,12.0,2.7,1.0,1 балкон,На улицу,Евроремонт,2008.0,Кирпичный,Наземная, Есенина 1к2 Санкт-Петербург,1,60.037144,30.321869,60.028227,30.331849,17.649800000000003
199,298839559.0,9,25,46.0,28000,Пушкинский,Звездная,0.0,0.0,0.0,0.0,0.0,0.0,17.0,2.6,1.0,1 балкон,На улицу,Евроремонт,2019.0,Монолитный,Наземная, Валдайская 6к2 Санкт-Петербург,6,59.83328,30.349447,59.802418,30.377618,60.213116666666664
200,298839228.0,2,19,36.0,25000,Московский,Московская,1.0,1.0,1.0,0.0,0.0,1.0,10.0,2.67277397260274,1.0,нет балкона,На улицу,Косметический,2012.0,Панельный,Открытая,5-й Предпортовый проезд 10к1 Санкт-Петербург,3,59.852018,30.322399,59.834714,30.312167,29.003783333333335
202,298835628.0,4,18,35.0,30000,Красногвардейский,Выборгская,1.0,1.0,0.0,0.0,0.0,1.0,10.0,2.7,1.0,1 лоджия,Во двор,Дизайнерский,2013.0,Блочный,Наземная, Маршала Тухачевского 25 Санкт-Петербург,6,59.971006,30.347309,59.969398,30.426828,68.35271666666667
203,298834948.0,4,5,31.3,35000,Красногвардейский,Новочеркасская,1.0,1.0,1.0,0.0,0.0,0.0,5.7,2.5,1.0,1 балкон,Во двор,Евроремонт,1961.0,Кирпичный,Наземная,Малоохтинский проспект 12 Санкт-Петербург,5,59.928916,30.411485,59.937549,30.405538,14.564983333333334
204,298834555.0,8,17,39.5,30000,Калининский,Академическая,1.0,1.0,1.0,0.0,0.0,1.0,18.0,2.7,1.0,1 балкон,Во двор,Евроремонт,2006.0,Кирпичный,Наземная, Верности 14К2 Санкт-Петербург,2,60.012719,30.396133,60.006125,30.409338,17.00003333333333
205,298833553.0,5,10,34.0,28000,Калининский,Гражданский проспект,1.0,1.0,1.0,0.0,0.0,1.0,8.0,2.5,1.0,нет балкона,Во двор,Евроремонт,1972.0,Панельный,Наземная, Брянцева 18 Санкт-Петербург,1,60.034829,30.418195,60.037665,30.40481,15.698233333333333
206,298832259.0,3,13,38.5,32000,Невский,Проспект Большевиков,1.0,1.0,0.0,1.0,0.0,1.0,10.0,2.6,1.0,1 лоджия,На улицу,Евроремонт,1986.0,Монолитный,Наземная, Латышских Стрелков 7К1 Санкт-Петербург,3,59.919865,30.466713,59.927355,30.467468,14.553366666666667
207,298829916.0,15,17,39.0,60000,Адмиралтейский,Фрунзенская,1.0,1.0,1.0,1.0,0.0,1.0,11.0,2.7,1.0,1 лоджия,Во двор,Дизайнерский,2021.0,Монолитный,Подземная, Парфеновская 14к1 Санкт-Петербург,3,59.906179,30.31753,59.900295,30.312697,11.904349999999999
208,298829541.0,2,5,33.0,30000,Московский,Электросила,1.0,1.0,0.0,0.0,0.0,1.0,6.0,2.5,1.0,1 балкон,На улицу и двор,Евроремонт,1960.0,Панельный,Наземная,Кузнецовская  8 Санкт-Петербург,6,59.879164,30.318707,59.872706,30.299851,20.02896666666667
209,298825989.0,4,5,31.5,25000,Московский,Парк Победы,1.0,1.0,0.0,0.0,0.0,1.0,6.0,2.67277397260274,1.0,1 балкон,Во двор,Косметический,1961.0,Панельный,Наземная,Новоизмайловский проспект 19 Санкт-Петербург,1,59.866459,30.321851,59.863057,30.301648,18.7117
210,298824727.0,5,13,49.0,33000,Приморский,Комендантский проспект,1.0,1.0,0.0,0.0,0.0,1.0,23.0,2.7,1.0,1 лоджия,Во двор,Евроремонт,2021.0,Монолитный,Подземная, Плесецкая 2 Санкт-Петербург,7,60.008716,30.258385,60.029508,30.205959,52.30266666666667
211,298824030.0,2,6,25.0,17000,Кировский,Автово,1.0,1.0,1.0,0.0,0.0,1.0,6.0,2.67277397260274,1.0,1 лоджия,Во двор,Косметический,1961.0,Панельный,Наземная, Червонного Казачества 6 Санкт-Петербург,3,59.867281,30.260999,59.865944,30.26779,7.06555
213,298822450.0,4,12,32.0,25000,Выборгский,Озерки,1.0,1.0,0.0,0.0,0.0,1.0,9.0,2.5,1.0,нет балкона,Во двор,Дизайнерский,1989.0,Панельный,Наземная,проспект Энгельса 128 Санкт-Петербург,7,60.037144,30.321869,60.042905,30.32628,9.270900000000001
214,298822241.0,15,20,51.0,54000,Приморский,Черная речка,1.0,1.0,1.0,1.0,0.0,1.0,20.0,2.8,1.0,1 лоджия,Во двор,Дизайнерский,2015.0,Монолитно-кирпичный,Подземная,Ушаковская набережная 1к4 Санкт-Петербург,11,59.985521,30.30083,59.98354,30.316003,12.549883333333334
215,298821274.0,5,9,30.6,23000,Калининский,Лесная,1.0,1.0,1.0,0.0,0.0,0.0,9.0,2.5,1.0,нет балкона,Во двор,Косметический,1971.0,Панельный,Наземная, Замшина 27К1 Санкт-Петербург,2,59.984769,30.344363,59.978476,30.405098,46.07643333333333
216,298819364.0,9,9,31.0,22000,Выборгский,Проспект Просвещения,1.0,1.0,1.0,0.0,0.0,1.0,6.0,2.5,1.0,нет балкона,Во двор,Косметический,1974.0,Панельный,Наземная,Придорожная аллея 21 Санкт-Петербург,11,60.051176,30.332676,60.054082,30.364332,27.610416666666666
217,298819258.0,1,9,31.2,30000,Приморский,Пионерская,1.0,1.0,1.0,0.0,0.0,1.0,7.0,2.5,1.0,нет балкона,Во двор,Евроремонт,1973.0,Панельный,Наземная,Серебристый бульвар 9к1 Санкт-Петербург,1,60.002517,30.296671,60.001095,30.282639,12.700983333333333
218,298818836.0,2,17,37.1,33000,Невский,Проспект Большевиков,1.0,1.0,1.0,0.0,0.0,1.0,11.3,2.7,1.0,1 лоджия,Во двор,Евроремонт,2017.0,Монолитный,Наземная,Складская  5 Санкт-Петербург,1,59.919865,30.466713,59.920312,30.435694,25.321683333333333
219,298811166.0,14,16,37.05,55000,Красногвардейский,Ладожская,1.0,1.0,0.0,1.0,0.0,1.0,11.1,2.5,1.0,1 балкон,На улицу,Дизайнерский,2018.0,Монолитно-кирпичный,Открытая,Заневский проспект 42 Санкт-Петербург,12,59.932428,30.439198,59.934285,30.434006,12.455900000000002
220,298810885.0,17,25,36.0,25000,Приморский,Комендантский проспект,1.0,1.0,0.0,0.0,0.0,1.0,17.0,2.7,1.0,1 балкон,Во двор,Евроремонт,2022.0,Монолитно-кирпичный,Наземная,аллея Арцеуловская 19 Санкт-Петербург,12,60.008716,30.258385,60.04024,30.209921,60.651266666666665
221,298810876.0,2,9,30.0,23000,Невский,Улица Дыбенко,1.0,1.0,0.0,0.0,0.0,1.0,6.0,2.67277397260274,1.0,нет балкона,На улицу,Косметический,1974.0,Панельный,Наземная, Подвойского 28к1Л Санкт-Петербург,7,59.907437,30.483368,59.915147,30.481428,14.639533333333333
222,298810573.0,11,26,39.0,45000,Калининский,Лесная,1.0,1.0,1.0,0.0,0.0,1.0,9.0,2.7,1.0,1 балкон,На улицу,Косметический,2012.0,Монолитно-кирпичный,Наземная,Кондратьевский проспект 64к8 Санкт-Петербург,2,59.984769,30.344363,59.981793,30.388524,35.58218333333333
